A1,A2,A3_u,A3_y,A4_gg,A4_p,A5,A6_aa,A6_c,A6_cc,A6_d,A6_e,A6_ff,A6_i,A6_j,A6_k,A6_m,A6_q,A6_r,A6_w,A6_x,A7,A8,A9_bb,A9_dd,A9_ff,A9_h,A9_j,A9_n,A9_o,A9_v,A9_z,A10,A11,A12,A13,A14,A15_p,A15_s,A16
0,41,0,1,0,1,2.04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1236,1,0,0,0,1,0,0,0,0,0,0.125,1,23,1,455,0,0,1
1,31.92,1,0,0,0,4.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,300,1,0,0,0,1,0,0,0,0,0,6.04,1,3,0,311,0,0,1
1,41.5,1,0,0,0,1.54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.5,0,0,0,216,0,0,1
1,23.92,1,0,0,0,0.665,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.165,0,0,0,100,0,0,1
0,25.75,1,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.875,1,0,1,491,0,0,1
1,26,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.75,1,0,1,280,0,0,1
1,37.42,1,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5800,0,0,0,0,0,0,0,0,1,0,0.04,1,0,1,400,0,0,1
1,34.92,1,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,200,0,0,0,0,0,0,0,0,1,0,0.0,1,0,1,239,0,0,1
1,34.25,1,0,0,0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.415,1,0,1,0,0,0,1
1,23.33,0,1,0,1,11.625,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,0,0,0,0,0,0,0,0,1,0,0.835,1,0,1,160,0,0,1
1,23.17,1,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.085,1,0,0,0,0,0,1
1,44.33,1,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1,0,1,320,0,0,1
1,35.17,1,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5.75,0,0,1,711,0,1,1
1,43.25,1,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.0,1,11,0,80,0,0,1
1,56.75,1,0,0,0,12.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.25,1,4,1,200,0,0,1
1,31.67,1,0,0,0,16.165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,730,1,0,0,0,0,0,0,0,1,0,3.0,1,9,0,250,0,0,1
0,23.42,0,1,0,1,0.79,0,0,0,0,0,0,0,0,0,0,1,0,0,0,400,1,0,0,0,0,0,0,0,1,0,1.5,1,2,1,80,0,0,1
0,20.42,1,0,0,0,0.835,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.585,1,1,0,0,0,0,1
1,26.67,1,0,0,0,4.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4.29,1,1,1,120,0,0,1
1,34.17,1,0,0,0,1.54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50000,1,0,0,0,0,0,0,0,1,0,1.54,1,1,1,520,0,0,1
0,36,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,456,1,0,0,0,0,0,0,0,1,0,2.0,1,11,0,0,0,0,1
1,25.5,1,0,0,0,0.375,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15108,1,0,0,0,0,0,0,0,1,0,0.25,1,3,0,260,0,0,1
1,19.42,1,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2954,1,0,0,0,1,0,0,0,0,0,1.46,1,7,0,80,0,0,1
1,35.17,1,0,0,0,25.125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500,1,0,0,0,1,0,0,0,0,0,1.625,1,1,1,515,0,0,1
1,32.33,1,0,0,0,7.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.585,1,0,1,420,0,1,0
1,34.83,1,0,0,0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.5,1,0,1,186.928044,0,0,0
0,38.58,1,0,0,0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.5,1,0,1,980,0,0,0
1,44.25,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.75,1,0,0,400,0,1,0
1,44.83,0,1,0,1,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1.625,0,0,0,160,0,0,0
1,20.67,1,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.375,1,1,0,160,0,0,0
1,34.08,1,0,0,0,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.125,1,0,1,443,0,0,0
0,19.17,0,1,0,1,0.585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.585,1,0,1,160,0,0,0
1,21.67,0,1,0,1,1.165,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,1,0,0,0,0,0,0,0,1,0,2.5,1,1,0,180,0,0,0
1,21.5,1,0,0,0,9.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,1,0,0,140,0,0,0
1,49.58,1,0,0,0,19.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1,1,0,94,0,0,0
0,27.67,1,0,0,0,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1,0,0,368,0,1,0
1,39.83,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,1,0,0,288,0,1,0
0,31.976661,1,0,0,0,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1,0,1,300,0,0,0
1,27.25,1,0,0,0,0.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.455,1,0,1,200,0,0,0
1,37.17,1,0,0,0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,1,0,1,280,0,1,0
1,31.976661,1,0,0,0,0.375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.875,1,0,1,928,0,1,0
1,25.67,0,1,0,1,2.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1,0,0,188,0,0,0
1,34,1,0,0,0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1,0,1,240,0,0,0
0,49,1,0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,1,0,0,0,0,0.0,1,0,1,100,0,0,0
1,62.5,0,1,0,1,12.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1,0,0,112,0,0,0
1,31.42,1,0,0,0,15.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,0,0,120,0,0,0
1,31.976661,0,1,0,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.5,1,0,0,0,0,0,0
1,52.33,0,1,0,1,1.375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,9.46,1,0,1,200,0,0,0
1,28.75,0,1,0,1,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,1,0,1.5,1,0,1,0,0,0,0
0,28.58,1,0,0,0,3.54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1,0,1,171,0,0,0
1,23,0,1,0,1,0.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.125,1,0,0,180,0,0,0
1,31.976661,1,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.835,1,0,1,320,0,1,0
0,22.5,0,1,0,1,11.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1,0,1,268,0,0,0
0,28.5,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,500,1,0,0,0,0,0,0,0,1,0,1.0,1,2,1,167,0,0,0
1,37.5,0,1,0,1,1.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,400,0,1,0,0,0,0,0,0,0,0,0.25,1,0,1,164,0,0,0
1,35.25,0,1,0,1,16.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1,0,0,80,0,0,0
1,18.67,1,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,1,0,0,0,0,0,0,0,1,0,0.375,1,2,0,0,0,0,0
1,25,1,0,0,0,12.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,2.25,1,2,1,120,0,0,0
1,27.83,0,1,0,1,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.75,1,2,1,75,0,0,0
1,54.83,1,0,0,0,15.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,130,1,0,0,0,0,0,0,0,0,1,0.0,1,20,0,152,0,0,0
1,28.75,1,0,0,0,1.165,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,0,0,280,0,1,0
0,25,0,1,0,1,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.5,1,0,0,120,0,0,0
1,40.92,0,1,0,1,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10.0,1,0,1,176,0,0,0
0,19.75,1,0,0,0,0.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0.795,1,5,1,140,0,0,0
1,29.17,1,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3.5,1,3,1,329,0,0,0
0,24.5,0,1,0,1,1.04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,147,1,0,0,1,0,0,0,0,0,0,0.5,1,3,0,180,0,0,0
1,24.58,1,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.875,1,0,1,260,0,0,0
0,33.75,1,0,0,0,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1.0,1,3,1,212,0,0,0
1,20.67,0,1,0,1,1.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,210,1,0,0,0,1,0,0,0,0,0,1.375,1,3,1,140,0,0,0
0,25.42,1,0,0,0,1.125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.29,1,2,0,200,0,0,0
1,37.75,1,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,1,0,0,0,0,0,11.5,1,7,1,300,0,0,0
1,52.5,1,0,0,0,6.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11202,1,0,0,0,0,0,0,0,1,0,6.29,1,15,0,0,0,0,1
1,57.83,1,0,0,0,7.04,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1332,1,0,0,0,0,0,0,0,1,0,14.0,1,6,1,360,0,0,1
0,20.75,1,0,0,0,10.335,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,1,0,0,0,1,0,0,0,0,0,0.335,1,1,1,80,0,0,1
1,39.92,1,0,0,0,6.21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,300,1,0,0,0,0,0,0,0,1,0,0.04,1,1,0,200,0,0,1
1,25.67,1,0,0,0,12.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,258,1,0,0,0,0,0,0,0,1,0,1.21,1,67,1,140,0,0,1
0,24.75,1,0,0,0,12.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,567,1,0,0,0,0,0,0,0,1,0,1.5,1,12,1,120,0,0,1
0,44.17,1,0,0,0,6.665,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7.375,1,3,1,0,0,0,1
0,23.5,1,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8.5,1,5,1,120,0,0,1
1,34.92,1,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,1,0,0,0,1,0,0,0,0,0,7.5,1,6,1,0,0,0,1
1,47.67,1,0,0,0,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2510,1,1,0,0,0,0,0,0,0,0,2.5,1,12,1,410,0,0,1
1,22.75,1,0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,809,1,0,0,0,0,0,0,0,1,0,2.5,1,7,1,100,0,0,1
1,34.42,1,0,0,0,4.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,610,1,1,0,0,0,0,0,0,0,0,3.25,1,2,0,274,0,0,1
0,28.42,1,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.835,1,0,0,280,0,1,1
1,67.75,1,0,0,0,5.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13.0,1,1,1,0,0,0,1
1,20.42,1,0,0,0,1.835,0,1,0,0,0,0,0,0,0,0,0,0,0,0,150,1,0,0,0,0,0,0,0,1,0,2.25,1,1,0,100,0,0,1
0,47.42,1,0,0,0,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51100,1,1,0,0,0,0,0,0,0,0,6.5,1,6,0,375,0,0,1
1,36.25,1,0,0,0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,367,1,1,0,0,0,0,0,0,0,0,2.5,1,6,0,0,0,0,1
1,32.67,1,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1000,1,0,0,0,1,0,0,0,0,0,5.5,1,12,1,408,0,0,1
1,48.58,1,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0,1,0,1,350,0,0,1
1,39.92,0,1,0,1,0.54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,1,0,0.5,1,3,0,200,0,0,1
1,33.58,1,0,0,0,2.75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4.25,1,6,0,204,0,0,1
0,18.83,1,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,600,1,0,0,0,0,0,0,0,1,0,1.625,1,6,1,40,0,0,1
0,26.92,1,0,0,0,13.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5000,1,0,0,0,1,0,0,0,0,0,5.0,1,2,0,0,0,0,1
0,31.25,1,0,0,0,3.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.625,1,9,1,181,0,0,1
0,56.5,1,0,0,0,16.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,247,1,0,0,1,0,0,0,0,0,0,0.0,1,15,0,0,0,0,1
1,43,0,1,0,1,0.29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,375,1,0,0,0,1,0,0,0,0,0,1.75,1,8,0,100,0,0,1
1,22.33,1,0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,278,1,0,0,0,0,0,0,0,1,0,2.0,1,1,0,80,0,0,1
1,27.25,1,0,0,0,1.665,0,0,1,0,0,0,0,0,0,0,0,0,0,0,827,1,0,0,0,1,0,0,0,0,0,5.085,1,9,0,399,0,0,1
1,32.83,1,0,0,0,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2072,1,0,0,0,1,0,0,0,0,0,2.75,1,6,0,160,0,0,1
1,23.25,1,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,582,1,0,0,0,0,0,0,0,1,0,2.375,1,3,1,0,0,0,1
0,40.33,0,1,0,1,7.54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2300,1,0,0,0,1,0,0,0,0,0,8.0,1,14,0,0,0,0,1
0,30.5,1,0,0,0,6.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3065,1,1,0,0,0,0,0,0,0,0,4.0,1,7,1,0,0,0,1
0,52.83,1,0,0,0,15.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2200,1,0,0,0,0,0,0,0,1,0,5.5,1,14,0,0,0,0,1
0,46.67,1,0,0,0,0.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0.415,1,11,1,440,0,0,1
0,58.33,1,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1602,1,0,0,0,0,0,0,0,1,0,4.0,1,14,0,0,0,0,1
1,37.33,1,0,0,0,6.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4.25,1,12,1,93,0,0,1
1,23.08,1,0,0,0,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2184,1,0,0,0,0,0,0,0,1,0,1.085,1,11,1,60,0,0,1
1,32.75,1,0,0,0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.5,1,3,1,0,0,0,1
0,21.67,0,1,0,1,11.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1,11,1,0,0,0,1
0,28.5,0,1,0,1,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2.54,1,1,0,70,0,0,1
0,68.67,1,0,0,0,15.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3376,1,0,0,0,0,0,0,0,0,1,0.0,1,14,0,0,0,0,1
1,28,1,0,0,0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4.165,1,2,1,181,0,0,1
1,34.08,0,1,0,1,0.08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2000,1,1,0,0,0,0,0,0,0,0,0.04,1,1,1,280,0,0,1
1,27.67,1,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7544,1,0,0,0,1,0,0,0,0,0,1.0,1,4,0,140,0,0,1
1,44,1,0,0,0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,1,0,0,0,0,0,0,0,1,0,1.75,1,2,1,0,0,0,1
1,25.08,1,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,0,0,0,0,0,1,0,1.665,1,1,1,395,0,0,1
1,32,0,1,0,1,1.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.04,1,0,1,393,0,0,1
0,60.58,1,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10561,0,0,0,0,0,0,0,0,1,0,11.0,1,0,1,21,0,0,1
0,40.83,1,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,837,0,0,0,0,1,0,0,0,0,0,1.75,1,0,0,29,0,0,1
1,19.33,1,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,400,0,0,0,0,0,0,0,0,1,0,1.0,1,0,1,60,0,0,1
0,32.33,1,0,0,0,0.54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11177,0,0,0,0,0,0,0,0,1,0,0.04,1,0,0,440,0,0,1
1,36.67,1,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,639,0,0,0,0,1,0,0,0,0,0,9.0,1,0,1,102,0,0,1
1,37.5,0,1,0,1,1.125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,0,0,1,431,0,0,1
0,25.08,0,1,0,1,2.54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,1,0,1,370,0,0,1
1,41.33,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.0,1,0,0,0,0,0,1
1,56,1,0,0,0,12.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2028,0,0,0,0,1,0,0,0,0,0,8.0,1,0,1,24,0,0,1
0,49.83,1,0,0,0,13.585,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.5,1,0,1,0,0,0,1
